Human.associated.gene.name	Associated.Gene.Name
MT-ND1	mt-Nd1
MT-ND2	mt-Nd2
MT-CO1	mt-Co1
MT-CO2	mt-Co2
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
MT-ND3	mt-Nd3
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
MT-CYB	mt-Cytb
IL17A	Il17a
GPBAR1	Gpbar1
REG3G	Reg3a
REG3A	Reg3a
HES1	Hes1
C2orf82	3110079O15Rik
GPR4	Gpr4
DYRK3	Dyrk3
WSB1	Wsb1
CKLF	Cklf
ARHGEF6	Arhgef6
MOV10L1	Mov10l1
CLUH	Cluh
VEGFD	Vegfd
TIPRL	Tiprl
ASNSD1	Gm28551
NRBF2	Nrbf2
OR8J3	Olfr1045
OR8J1	Olfr1045
FBRS	Fbrs
WT1	Wt1
DNTTIP1	Dnttip1
TRAPPC5	Trappc5
NVL	Nvl
SND1	Snd1
OSGEPL1	Osgepl1
TRBV28	Trbv29
LMOD3	Lmod3
ZSCAN12	Zscan12
FZD10	Fzd10
SUSD3	Susd3
OR8K1	Olfr1046
OR6K6	Olfr231
TRBV29-1	Trbv30
ZNF322	Zfp322a
OPA3	Opa3
SMIM22	Smim22
UBASH3A	Ubash3a
RAB8A	Rab8a
SMARCA2	Smarca2
MTFP1	Mtfp1
ABHD13	Abhd13
POU5F1	Pou5f1
POU5F1B	Pou5f1
IWS1	Iws1
GDPD1	Gdpd1
TBC1D2	Tbc1d2
MAPRE3	Mapre3
ATP10A	Atp10a
OR8K3	Olfr1047
TFRC	Tfrc
DEUP1	Ccdc67
AGBL1	Agbl1
PDCD6IP	Pdcd6ip
TDRD12	Tdrd12
DPH5	Dph5
ORMDL1	Gm28778
NLRP14	Nlrp14
REG1B	Reg2
REG1A	Reg2
ADAM21	Adam21
ASNSD1	Asnsd1
C11orf58	1110004F10Rik
LINC00371	Gm4131
OR8K5	Olfr1048
FAM124A	Fam124a
CBLN1	Cbln1
ANKRD45	Ankrd45
TNFSF13B	Tnfsf13b
QRFP	Qrfp
OR8K5	Olfr1049
GSTM1	Gstm2
GSTM5	Gstm2
AAMP	Aamp
HVCN1	Hvcn1
XPNPEP2	Xpnpep2
TNNC2	Tnnc2
MRO	Mro
HPDL	Hpdl
SGIP1	Sgip1
PLP2	Plp2
NDNF	Ndnf
ZFR	Zfr
LRRC4	Lrrc4
STK3	Stk3
RPL29	Rpl29
FES	Fes
RBMXL3	Rbmxl2
RBMXL2	Rbmxl2
KIF1C	Kif1c
OR8K5	Olfr1051
GSAP	Gsap
SLC25A43	Slc25a43
UBE2C	Ube2c
FIBCD1	Fibcd1
ZSCAN18	Zscan18
TSGA13	Tsga13
PRICKLE3	Prickle3
PKP4	Pkp4
PRSS2	Try4
PRSS3	Try4
PRSS1	Try4
ZKSCAN3	Zkscan3
ACADL	Acadl
ARL6	Arl6
PAX9	Pax9
ARL10	Arl10
IL17F	Il17f
SLC2A3	Slc2a3
SLC2A14	Slc2a3
C9orf78	BC005624
PRSS33	Prss33
ORMDL1	Ormdl1
RALYL	Ralyl
SLC25A21	Slc25a21
CCP110	Ccp110
UHRF1	Uhrf1
PLA2G2C	Pla2g2c
MS4A6E	Ms4a6c
MS4A6A	Ms4a6c
WSCD2	Wscd2
TBC1D16	Tbc1d16
EHMT1	Ehmt1
OR13J1	Olfr71
MOGS	Mogs
PAPOLA	Papola
ITGA5	Itga5
RPL34	Rpl34
GSTP1	Gstp1
GPR89A	Gpr89
GPR89B	Gpr89
MED6	Med6
LRP12	Lrp12
UBXN10	Ubxn10
SLC44A3	Slc44a3
ACOT8	Acot8
ASB2	Asb2
EPS15	Eps15
ASXL2	Asxl2
TCTN1	Tctn1
OTC	Otc
DSG1	Dsg1b
CBX6	Cbx6
CNGB1	Cngb1
CHD3	Chd3
SAMD15	Samd15
SNX21	Snx21
ERMARD	Ermard
PDZK1	Pdzk1
THBS4	Thbs4
MEIS1	Meis1
SLC25A5	Slc25a5
MIIP	Miip
GNB1	Gnb1
MVB12B	Mvb12b
FTSJ1	Ftsj1
SYT9	Syt9
PARP12	Parp12
ROGDI	Rogdi
CRKL	Crkl
ZSWIM3	Zswim3
WBP1	Wbp1
DEXI	Dexi
FOPNL	Fopnl
LAMC3	Lamc3
PSMD4	Psmd4
PDK3	Pdk3
ERGIC2	Ergic2
ANKRD24	Ankrd24
SPATA25	Spata25
PRAM1	Pram1
PRDM5	Prdm5
SPTSSB	Sptssb
CYCS	Cycs
WWP2	Wwp2
NOP16	Nop16
CCDC28B	Ccdc28b
CNIH4	Cnih4
PLGRKT	Plgrkt
ZSWIM1	Zswim1
NOX3	Nox3
OR6K3	Olfr424
ZBTB42	Zbtb42
CYP27B1	Cyp27b1
LINC00961	5430416O09Rik
ZBTB26	Zbtb26
MUS81	Mus81
RP11-1236K1.1	Defb47
DEFB130	Defb47
ZNF414	Zfp414
ZBTB6	Zbtb6
ZNF354C	Zfp354c
CTD-2313N18.7	Defb43
DEFB131	Defb43
NPTXR	Npcd
FBXL20	Fbxl20
REG1B	Reg1
REG1A	Reg1
RASGRP2	Rasgrp2
OR6K2	Olfr420
TCTEX1D1	Tctex1d1
DCDC2B	Dcdc2b
SPIN2A	Gm21719
SPIN2B	Gm21719
PITX3	Pitx3
LRRC15	Lrrc15
GJA8	Gja8
EGR2	Egr2
TMEM234	Tmem234
ARID1B	Arid1b
HSH2D	Hsh2d
ING1	Ing1
GSTP1	Gstp2
ARID4B	Arid4b
ELOVL3	Elovl3
OR5J2	Olfr1052
FGL2	Fgl2
CD160	Cd160
ISM2	Ism2
NPTXR	Nptxr
OR8K5	Olfr1053
CCDC146	Ccdc146
IRX4	Irx4
SERPINB5	Serpinb5
CFAP100	Cfap100
OR8K3	Olfr1054
HSPB9	Hspb9
SLC2A2	Slc2a2
GJA5	Gja5
CDC42BPG	Cdc42bpg
C7orf31	4921507P07Rik
ZBTB9	Zbtb9
MAP2K6	Map2k6
NEURL2	Neurl2
ATP1B3	Atp1b3
BAK1	Bak1
PHYHIP	Phyhip
SEMA3E	Sema3e
KDM7A	Kdm7a
TRPM7	Trpm7
ECE2	Ece2
PLTP	Pltp
PRSS2	Try5
PRSS3	Try5
PRSS1	Try5
CSF3R	Csf3r
SEMA3B	Sema3b
CHST2	Chst2
SHISA9	Shisa9
HSD17B13	Hsd17b13
